Source,Target
"Sartorius, Franz Joseph (Bürgermeister von Bedburdyck)",
,
"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD)",
"Salm, Constance de (CdS)",
"Valant, Joseph-Honoré",
"Salm, Constance de (CdS)",
"Salm, Constance de (CdS)",
"Faulcon de La Parisière, Marie-Félix",
"Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829)",
"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD)",
"Sartorius, Franz Joseph (Bürgermeister von Bedburdyck)",
,
"Salm, Constance de (CdS)",
,
,
"Fayolle, François-Joseph-Marie",
"Joliveau de Segrais, Marie-Madeleine, gen. Adine / Admée, geb. Gehier",
"Salm, Constance de (CdS)",
"Salm, Constance de (CdS)",
"Salm, Constance de (CdS)",
"Salm, Constance de (CdS)",
"Salm, Constance de (CdS)",
"Salm, Constance de (CdS)",
"Lantier, Étienne-François de",
"Le Prévost d'Iray, Chrétien-Siméon, vicomte",
,
,
"Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829)",
"Letellier de Sainteville, Olympe de",
"Jovin-Deshayes, Monsieur (Bürgermeister von Saint-Etienne)","Salm, Constance de (CdS)"
"Dolomieu, marquise de","Werther, Freifrau von"
"Salm, Constance de (CdS)",
"Salm, Constance de (CdS)",
"Hatzfeldt-Schönstein, Maria Theresia Gräfin von, 1. Ehefrau des SRD",
"Klein, Herr (Friedensrichter im Bezirk Elsen)|Sartorius, Franz Joseph (Bürgermeister von Bedburdyck)",
"Schwind, Monsieur (Bestatter in Paris)",
"Ponce, Nicolas",
,
,
,
,
,
"Salm, Constance de (CdS)",
,
"Salm, Constance de (CdS)",
"Mentelle, Edme",
"Klein, Herr (Friedensrichter im Bezirk Elsen)",
,
,
"Salm, Constance de (CdS)",
"Roux de Rochelle, Jean-Baptiste-Gaspard",
"Salm, Constance de (CdS)",
,
,
"Salm, Constance de (CdS)",
"Raboteau, Pierre Paul",
,
"Girodet-Trioson, Anne-Louis, eigentl. Girodet de Roussy",
,
,
,
"Friedrich Wilhelm III., König von Preußen",
,
,
"Raboteau, Pierre Paul",
"Raboteau, Pierre Paul",
,
,
,
,
"Salm, Constance de (CdS)",
"Salm, Constance de (CdS)",
,
"Salm, Constance de (CdS)",
,
"Salm, Constance de (CdS)",
,
"Labouïsse-Rochefort, Jean-Pierre-Jacques-Auguste de",
"Raboteau, Pierre Paul",
,
"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD)",
"Salm, Constance de (CdS)",
"Duval, Alexandre, eigentl. Alexandre-Vincent Pineux|Salm, Constance de (CdS)",
"Vigée, Étienne",
"Salm, Constance de (CdS)",
"Mentelle, Edme",
,
"Salm, Constance de (CdS)",
"Salm, Constance de (CdS)",
"Salm, Constance de (CdS)",
"Vingtain, Monsieur (Notar in Paris)",
"Desauneaux, Tiphaine (Notar)",
"Vingtain, Monsieur (Notar in Paris)",
"Klein, Herr (Friedensrichter im Bezirk Elsen)|Sartorius, Franz Joseph (Bürgermeister von Bedburdyck)|Weiß, W. (Redakteur und Verleger der Stadt-Aachener Zeitung)",
"Klein, Herr (Friedensrichter im Bezirk Elsen)|Sartorius, Franz Joseph (Bürgermeister von Bedburdyck)|Bovard, J. J. (Drucker der CdS und Verleger, in Aachen [?])",
"Montémont, Albert",
"Salm, Constance de (CdS)",
,
"Salm, Constance de (CdS)",
"Raboteau, Pierre Paul",
"Raboteau, Pierre Paul",
"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD)",
"Sartorius, Franz Joseph (Bürgermeister von Bedburdyck)",
"Beaumont, Léonce Élie de",
"Salm, Constance de (CdS)",
"Boucharlat, Jean-Louis",
"Cailly, Monsieur",
,
,
"Lückenhof, Prof. [J. C.] (aus Münster)",
,
"Duval, Amaury, eigentl. Charles-Alexandre-Amaury Pineux",
"Villenave, Mathieu-Guillaume-Thérèse",
"Le Prévost d'Iray, Chrétien-Siméon, vicomte",
"Pacault, Désirée",
"Prous, Henry",
"Salm, Constance de (CdS)",
"Joliveau de Segrais, Marie-Madeleine, gen. Adine / Admée, geb. Gehier",
,
"Pipelet, Jean-Baptiste",
"Pipelet, Jean-Baptiste",
"Salm, Constance de (CdS)",
"Desauneaux, Tiphaine (Notar)",
"Salm, Constance de (CdS)",
"Salm, Constance de (CdS)",
,
"Salm, Constance de (CdS)",
"Salm, Constance de (CdS)",
,
"Salm, Constance de (CdS)",
"Francq, Emmanuel de",
"Jullien de Paris, Marc-Antoine",
"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD)",
"Salm, Constance de (CdS)",
"Ladoucette, Jean Charles François, baron de",
,
,
,
,
,
,
"Salm, Constance de (CdS)",
,
"Théis, Marie Alexandre de (Vater der CdS)",
"Raboteau, Pierre Paul",
"Raboteau, Pierre Paul",
"Prous, Henry",
,
"Salm, Constance de (CdS)",
,
"Salis, Sophie de, verh. baronne de Triqueti",
"Salis, Sophie de, verh. baronne de Triqueti",
"Salm, Constance de (CdS)",
"Valant, Joseph-Honoré",
"Lebatard, Monsieur (Arzt)",
,
,
"Friedrich Wilhelm III., König von Preußen",
"Friedrich Wilhelm III., König von Preußen",
"Ladoucette, Jean Charles François, baron de",
"Francq, Agathe Clémence, baronne de, geb. Pipelet, gen. Minette",
"Francq, Agathe Clémence, baronne de, geb. Pipelet, gen. Minette",
"Salm, Constance de (CdS)",
"Ladoucette, Jean Charles François, baron de",
,
,
,
,
,
"Guillois, M.F.",
,
"Raboteau, Pierre Paul",
"Raboteau, Pierre Paul",
"Mentelle, Edme",
