Person,Siehe auch,FuD-ID,Feld
"Aarschot, Gräfin von",,2621,gnd
"Aarschot, Graf von",,3930,gnd
"Aarschot-Schoonhoven, Octavia Philippine",,4729,gnd
"Aarschot-Schoonhoven, Philippe, comte d'","['http://viaf.org/viaf/113145663051105070658', 'http://www.wikidata.org/entity/Q2172922', 'https://d-nb.info/gnd/1084005905/about', 'https://kalliope-verbund.info/gnd/1084005905']",2472,gnd
"Abranowitz (Abramowitz?), comtesse",,2443,gnd
"Abrantès, Laure Junot, duchesse d', geb. Permond","['http://catalogue.bnf.fr/ark:/12148/cb12015663d', 'http://dbpedia.org/resource/Laure_Junot,_Duchess_of_Abrant%C3%A8s', 'http://id.loc.gov/rwo/agents/n85376452', 'http://isni.org/isni/0000000083438251', 'http://viaf.org/viaf/56621157', 'http://www.portraitindex.de/dokumente/pnd/115444378', 'http://www.wikidata.org/entity/Q272690', 'https://d-nb.info/gnd/115444378/about', 'https://de.wikipedia.org/wiki/Laure-Adelaide_Abrant%C3%A8s', 'https://en.wikipedia.org/wiki/Laure_Junot%2C_Duchess_of_Abrant%C3%A8s', 'https://kalliope-verbund.info/gnd/115444378', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/115444378']",4689,gnd
"Achard-James, [Jean-Marie]","['http://viaf.org/viaf/24152636057120050284', 'https://d-nb.info/gnd/1157458998/about']",6395,gnd
Achilleus,"['http://dbpedia.org/resource/Achilles', 'http://viaf.org/viaf/57405744', 'http://www.wikidata.org/entity/Q41746', 'https://d-nb.info/gnd/118500384/about', 'https://de.wikipedia.org/wiki/Achilleus_%28Heiliger%29', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/118500384']",2668,gnd
"Adam, Adolphe","['http://dbpedia.org/resource/Adolphe_Adam', 'http://id.loc.gov/rwo/agents/n80057007', 'http://isni.org/isni/0000000121209397', 'http://viaf.org/viaf/12370239', 'http://www.filmportal.de/person/1D45DDEFE7F744E9AA34E2E8985BC42C', 'http://www.portraitindex.de/dokumente/pnd/11864372X', 'http://www.wikidata.org/entity/Q189544', 'https://d-nb.info/gnd/11864372X/about', 'https://d-nb.info/gnd/182645339', 'https://d-nb.info/gnd/185687466', 'https://de.wikipedia.org/wiki/Adolphe_Adam', 'https://en.wikipedia.org/wiki/Adolphe_Adam', 'https://kalliope-verbund.info/gnd/11864372X', 'https://www.archivportal-d.de/person/gnd/11864372X', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/11864372X']",6585,gnd
"Adolphus Frederick, Duke of Cambridge","['http://catalogue.bnf.fr/ark:/12148/cb14549574h', 'http://dbpedia.org/resource/Prince_Adolphus,_Duke_of_Cambridge', 'http://id.loc.gov/rwo/agents/n2002047654', 'http://isni.org/isni/0000000063103307', 'http://viaf.org/viaf/51929589', 'http://www.deutsche-biographie.de/pnd116008636.html#adbcontent', 'http://www.portraitindex.de/dokumente/pnd/116008636', 'http://www.wikidata.org/entity/Q313771', 'https://d-nb.info/gnd/116008636/about', 'https://de.wikipedia.org/wiki/Adolphus_Frederick%2C_1._Duke_of_Cambridge', 'https://en.wikipedia.org/wiki/Prince_Adolphus%2C_Duke_of_Cambridge', 'https://kalliope-verbund.info/gnd/116008636', 'https://www.archivportal-d.de/person/gnd/116008636', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/116008636']",2858,gnd
