Person,FuD-ID,Feld,URN
"Aarschot, Gräfin von",2621,gnd,
"Aarschot, Graf von",3930,gnd,
"Aarschot-Schoonhoven, Octavia Philippine",4729,gnd,
"Aarschot-Schoonhoven, Philippe, comte d'",2472,gnd,http://d-nb.info/gnd/1084005905
"Abranowitz (Abramowitz?), comtesse",2443,gnd,
"Abrantès, Laure Junot, duchesse d', geb. Permond",4689,gnd,http://d-nb.info/gnd/115444378
"Achard-James, [Jean-Marie]",6395,gnd,http://d-nb.info/gnd/1157458998
Achilleus,2668,gnd,http://d-nb.info/gnd/118500384
"Adam, Adolphe",6585,gnd,http://d-nb.info/gnd/11864372X
"Adolphus Frederick, Duke of Cambridge",2858,gnd,http://d-nb.info/gnd/116008636
"Affry, Lucie de Maillardoz, comtesse d'",3241,gnd,
"Agard, Monsieur",5914,gnd,
"Agassiz, Louis",3098,gnd,http://d-nb.info/gnd/118643967
"Agoub, Esther",3361,gnd,
"Agoub, Joseph Elie",5190,gnd,http://d-nb.info/gnd/130034770
"Aguesseau, comte d'",4301,gnd,http://d-nb.info/gnd/1055528539
"Ahels / Ohels (?), Herr (Wirt)",5067,gnd,
"Aignan, Etienne",4176,gnd,http://d-nb.info/gnd/116274298
"Aignan, Madame",3903,gnd,
"Aimé-Martin, Louis, eigentl. Louis-Aimé Martin",3308,gnd,http://d-nb.info/gnd/10430572X
"Aimons (?), Herr",5859,gnd,
"Álava, Miguel Ricardo de",5209,gnd,http://d-nb.info/gnd/1079882162
"Albert de Luynes, Jeanne Baptiste d', comtesse de Verrue",3313,gnd,http://d-nb.info/gnd/1055312609
"Albrand, Pierre",2610,gnd,
"Albufera, Mademoiselle d'",4397,gnd,
"Alexander I., Zar von Russland",2176,gnd,http://d-nb.info/gnd/118501852
"Alexander, Prinz (Alexander von Preußen?)",5736,gnd,
"Alibaud, Louis",3632,gnd,
"Alibert, Jean-Louis, baron",5326,gnd,http://d-nb.info/gnd/118501984
"Alibert, Madame",5301,gnd,
"Alice, Mademoiselle (Dienstmädchen in Paris)",5429,gnd,
"Allard, Madame",4174,gnd,
"Allenet (?), Monsieur",3248,gnd,
"Allou, Charles-Nicolas",2158,gnd,http://d-nb.info/gnd/117254762
"Allou, Madame",4350,gnd,
"Alopaeus, David Maximowitsch",2177,gnd,http://d-nb.info/gnd/129180440
"Alpen, Monsieur van",5885,gnd,
"Althoff, Leutnant",3929,gnd,
"Alvensleben, Herr von",5147,gnd,
"Alvimare, Martin-Pierre d'",1888,gnd,http://d-nb.info/gnd/134864239
"Amalric, François de Sales",1889,gnd,http://d-nb.info/gnd/10001495X
"Amalric, Monsieur",5954,gnd,
"Amar, Monsieur",3588,gnd,
