Person,FuD-ID,Feld,VIAF-Nummer
"Aarschot, Gräfin von",2621,viaf,
"Aarschot, Graf von",3930,viaf,
"Aarschot-Schoonhoven, Octavia Philippine",4729,viaf,
"Aarschot-Schoonhoven, Philippe, comte d'",2472,viaf,http://viaf.org/viaf/113145663051105070658
"Abranowitz (Abramowitz?), comtesse",2443,viaf,
"Abrantès, Laure Junot, duchesse d', geb. Permond",4689,viaf,http://viaf.org/viaf/56621157
"Achard-James, [Jean-Marie]",6395,viaf,http://viaf.org/viaf/24152636057120050284
Achilleus,2668,viaf,http://viaf.org/viaf/57405744
"Adam, Adolphe",6585,viaf,http://viaf.org/viaf/12370239
"Adolphus Frederick, Duke of Cambridge",2858,viaf,http://viaf.org/viaf/51929589
"Affry, Lucie de Maillardoz, comtesse d'",3241,viaf,
"Agard, Monsieur",5914,viaf,
"Agassiz, Louis",3098,viaf,http://viaf.org/viaf/14832040
"Agoub, Esther",3361,viaf,
"Agoub, Joseph Elie",5190,viaf,http://viaf.org/viaf/66622431
"Aguesseau, comte d'",4301,viaf,http://viaf.org/viaf/310509085
"Ahels / Ohels (?), Herr (Wirt)",5067,viaf,
"Aignan, Etienne",4176,viaf,http://viaf.org/viaf/29528932
"Aignan, Madame",3903,viaf,
"Aimé-Martin, Louis, eigentl. Louis-Aimé Martin",3308,viaf,http://viaf.org/viaf/7819440
"Aimons (?), Herr",5859,viaf,
"Álava, Miguel Ricardo de",5209,viaf,http://viaf.org/viaf/87246609
"Albert de Luynes, Jeanne Baptiste d', comtesse de Verrue",3313,viaf,http://viaf.org/viaf/309681516
"Albrand, Pierre",2610,viaf,
"Albufera, Mademoiselle d'",4397,viaf,
"Alexander I., Zar von Russland",2176,viaf,http://viaf.org/viaf/4938543
"Alexander, Prinz (Alexander von Preußen?)",5736,viaf,
"Alibaud, Louis",3632,viaf,http://viaf.org/viaf/73842475
"Alibert, Jean-Louis, baron",5326,viaf,http://viaf.org/viaf/84791414
"Alibert, Madame",5301,viaf,
"Alice, Mademoiselle (Dienstmädchen in Paris)",5429,viaf,
"Allard, Madame",4174,viaf,
"Allenet (?), Monsieur",3248,viaf,
"Allou, Charles-Nicolas",2158,viaf,http://viaf.org/viaf/56633624
"Allou, Madame",4350,viaf,
"Alopaeus, David Maximowitsch",2177,viaf,http://viaf.org/viaf/1084226
"Alpen, Monsieur van",5885,viaf,
"Althoff, Leutnant",3929,viaf,
"Alvensleben, Herr von",5147,viaf,
"Alvimare, Martin-Pierre d'",1888,viaf,http://viaf.org/viaf/76507450
"Amalric, François de Sales",1889,viaf,http://viaf.org/viaf/27404651
